date,sales,temperature,is_holiday
2023-01-01,120.972586,4.10006,1
2023-01-02,116.20466,2.804389,1
2023-01-03,120.28572,4.354113,1
2023-01-04,83.889169,6.086153,0
2023-01-05,89.287333,2.556687,0
2023-01-06,88.017368,2.545169,0
2023-01-07,118.955215,6.16387,1
2023-01-08,124.468617,4.53587,1
2023-01-09,126.185467,2.061162,1
2023-01-10,97.497217,4.087898,0
2023-01-11,80.132816,2.082164,0
2023-01-12,79.676905,2.087315,0
2023-01-13,84.404388,3.516025,0
2023-01-14,112.482293,-0.777588,1
2023-01-15,118.675433,-0.380451,1
2023-01-16,91.546671,1.968758,0
2023-01-17,116.792604,1.095148,1
2023-01-18,85.833291,3.780301,0
2023-01-19,81.775502,1.370266,0
2023-01-20,78.78397,0.399715,0
2023-01-21,114.264761,6.197117,1
2023-01-22,113.789813,2.859242,1
2023-01-23,91.766578,3.494289,0
2023-01-24,94.833285,0.561624,0
2023-01-25,108.935127,2.377677,1
2023-01-26,96.652511,3.747027,0
2023-01-27,112.092382,1.285335,1
2023-01-28,117.262736,4.404239,1
2023-01-29,115.492086,2.52045,1
2023-01-30,98.244332,3.210566,0
2023-01-31,89.999737,2.666087,0
2023-02-01,92.440941,7.652901,0
2023-02-02,96.568474,4.00347,0
2023-02-03,85.306933,2.000412,0
2023-02-04,122.276709,5.849519,1
2023-02-05,115.580081,1.854537,1
2023-02-06,96.581819,4.808917,0
2023-02-07,97.708589,0.569959,0
2023-02-08,84.870034,1.934152,0
2023-02-09,94.445999,5.088555,0
2023-02-10,91.945153,6.279128,0
2023-02-11,114.954385,5.255316,1
2023-02-12,123.274513,4.794656,1
2023-02-13,100.396917,4.540074,0
2023-02-14,94.500248,2.304487,0
2023-02-15,82.704865,3.943979,0
2023-02-16,108.886711,4.587375,1
2023-02-17,89.301323,7.750694,0
2023-02-18,117.865673,6.454259,1
2023-02-19,121.291246,2.37425,1
2023-02-20,98.933046,6.684503,0
2023-02-21,89.151906,5.404831,0
2023-02-22,91.321315,4.962428,0
2023-02-23,116.714482,7.683473,1
2023-02-24,93.264804,8.668499,0
2023-02-25,124.217465,8.617927,1
2023-02-26,124.427439,5.228242,1
2023-02-27,99.864928,6.44196,0
2023-02-28,96.191934,7.878972,0
2023-03-01,86.64746,9.325903,0
2023-03-02,90.105506,6.577091,0
2023-03-03,90.783161,7.32696,0
2023-03-04,118.606803,5.65061,1
2023-03-05,116.31255,5.637983,1
2023-03-06,96.410118,9.824631,0
2023-03-07,128.248635,11.083256,1
2023-03-08,92.392295,8.399918,0
2023-03-09,94.432226,10.726079,0
2023-03-10,91.899493,9.619221,0
2023-03-11,119.346588,7.784454,1
2023-03-12,128.644681,9.977985,1
2023-03-13,100.821237,12.51347,0
2023-03-14,98.193578,9.549596,0
2023-03-15,94.330264,12.93598,0
2023-03-16,110.190725,4.754187,1
2023-03-17,92.314913,11.825949,0
2023-03-18,122.325442,10.546133,1
2023-03-19,122.966396,9.965291,1
2023-03-20,106.649191,10.939408,0
2023-03-21,117.170659,6.974587,1
2023-03-22,93.647431,10.70542,0
2023-03-23,91.010573,12.05517,0
2023-03-24,101.473953,14.493999,0
2023-03-25,122.346188,10.699962,1
2023-03-26,129.291554,10.318773,1
2023-03-27,95.838328,11.132413,0
2023-03-28,102.571817,14.167746,0
2023-03-29,99.946103,13.196248,0
2023-03-30,92.799904,11.681759,0
2023-03-31,99.529578,13.971017,0
2023-04-01,121.604806,13.342449,1
2023-04-02,134.778503,15.289945,1
2023-04-03,111.79295,12.153397,0
2023-04-04,99.204029,13.107455,0
2023-04-05,94.595936,13.184206,0
2023-04-06,97.936771,11.247341,0
2023-04-07,102.387375,14.972805,0
2023-04-08,122.995801,15.109051,1
2023-04-09,127.071343,14.803667,1
2023-04-10,103.372162,14.530826,0
2023-04-11,94.692272,12.375819,0
2023-04-12,118.813388,14.571769,1
2023-04-13,91.056003,14.934007,0
2023-04-14,92.396512,14.221075,0
2023-04-15,125.428465,15.709006,1
2023-04-16,131.482274,17.045322,1
2023-04-17,115.248536,20.214868,0
2023-04-18,99.773203,16.996501,0
2023-04-19,103.661316,17.366807,0
2023-04-20,95.794706,16.906626,0
2023-04-21,119.62993,13.421178,1
2023-04-22,129.625859,17.408226,1
2023-04-23,126.645084,17.783519,1
2023-04-24,112.636724,22.790557,0
2023-04-25,104.978842,17.679518,0
